filename,filesize_kb,gbl_fileSize_s,sequoia,public_link
Arizona_AnnualMeanDailyTempRange_1961to1990.zip,142.81,0.14 MB,http://sequoia.library.arizona.edu/geospatial/public/single_layer_datasets/Arizona_AnnualMeanDailyTempRange_1961to1990.zip,https://data.cyverse.org/dav-anon/iplant/commons/community_released//ual/public/NOAA/Temperature/1990/Arizona_AnnualMeanDailyTempRange_1961to1990.zip
Arizona_AnnualMeanMaximumDailySnowfall_1961to1990.zip,84.6,0.08 MB,http://sequoia.library.arizona.edu/geospatial/public/single_layer_datasets/Arizona_AnnualMeanMaximumDailySnowfall_1961to1990.zip,https://data.cyverse.org/dav-anon/iplant/commons/community_released//ual/public/NOAA/Snowfall/1990/Arizona_AnnualMeanMaximumDailySnowfall_1961to1990.zip
Arizona_AnnualMeanRelativeHumidity_1961to1990.zip,34.64,0.03 MB,http://sequoia.library.arizona.edu/geospatial/public/single_layer_datasets/Arizona_AnnualMeanRelativeHumidity_1961to1990.zip,https://data.cyverse.org/dav-anon/iplant/commons/community_released//ual/public/NOAA/Humidity/1990/Arizona_AnnualMeanRelativeHumidity_1961to1990.zip
Arizona_AnnualMeanTotalPrecipitation_1961to1990.zip,52.93,0.05 MB,http://sequoia.library.arizona.edu/geospatial/public/single_layer_datasets/Arizona_AnnualMeanTotalPrecipitation_1961to1990.zip,https://data.cyverse.org/dav-anon/iplant/commons/community_released//ual/public/NOAA/Precipitation/1990/Arizona_AnnualMeanTotalPrecipitation_1961to1990.zip
Arizona_AnnualMeanTotalSnowfall_1961to1990.zip,118.78,0.12 MB,http://sequoia.library.arizona.edu/geospatial/public/single_layer_datasets/Arizona_AnnualMeanTotalSnowfall_1961to1990.zip,https://data.cyverse.org/dav-anon/iplant/commons/community_released//ual/public/NOAA/Snowfall/1990/Arizona_AnnualMeanTotalSnowfall_1961to1990.zip
Arizona_ArsonRates_1990to2001.zip,101.47,0.10 MB,http://sequoia.library.arizona.edu/geospatial/public/single_layer_datasets/Arizona_ArsonRates_1990to2001.zip,https://data.cyverse.org/dav-anon/iplant/commons/community_released//ual/public/AZDPS/ArsonRates/2001/Arizona_ArsonRates_1990to2001.zip
Arizona_AvgAgeDeath_2000.zip,100.98,0.10 MB,http://sequoia.library.arizona.edu/geospatial/public/single_layer_datasets/Arizona_AvgAgeDeath_2000.zip,https://data.cyverse.org/dav-anon/iplant/commons/community_released//ual/public/AZDHS/AverageAgeofDeath/2000/Arizona_AvgAgeDeath_2000.zip
Arizona_AZGSEarthFissures_2015.zip,707.46,0.69 MB,http://sequoia.library.arizona.edu/geospatial/public/single_layer_datasets/Arizona_AZGSEarthFissures_2015.zip,https://data.cyverse.org/dav-anon/iplant/commons/community_released//ual/public/AZGS/Fissures/Arizona/EarthFissures/2015/Arizona_AZGSEarthFissures_2015.zip
Arizona_AZGSEarthFissuresStudyAreas_2015.zip,12.6,0.01 MB,http://sequoia.library.arizona.edu/geospatial/public/single_layer_datasets/Arizona_AZGSEarthFissuresStudyAreas_2015.zip,https://data.cyverse.org/dav-anon/iplant/commons/community_released//ual/public/AZGS/Fissures/Arizona/EarthFissuresStudyAreas/2015/Arizona_AZGSEarthFissuresStudyAreas_2015.zip
Arizona_BioticCommunities_1993.zip,10711.95,10.46 MB,http://sequoia.library.arizona.edu/geospatial/public/single_layer_datasets/Arizona_BioticCommunities_1993.zip,https://data.cyverse.org/dav-anon/iplant/commons/community_released//ual/public/AZSLD/BioticCommunities/1993/Arizona_BioticCommunities_1993.zip
